audio_file;transcription;translation
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000008_000000.wav;"""Forgive me, my dear friend, I was going to ask you that.""";
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000017_000001.wav;She was going due east, when she turned away toward the north, and kept on at a good pace.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000009_000000.wav;D'Artagnan increased the sharpness of his penetrating gaze, which no secret was capable of resisting.;
opus_datasets/extracted/LibriTTS_R/dev-other\2506\11267\2506_11267_000009_000007.wav;Faugh! the old brute!;
opus_datasets/extracted/LibriTTS_R/dev-other\4570\56594\4570_56594_000001_000000.wav;BY DANFORTH MARBLE;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50963\5849_50963_000034_000000.wav;"""And last night what an awful experience they had!"" remarked one of the spectators.";
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67804\6455_67804_000004_000001.wav;"""It is scarcely a joyous occasion, to my mind.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000039_000000.wav;"""I do not understand, not more than a word here and there.";
opus_datasets/extracted/LibriTTS_R/dev-other\4572\112383\4572_112383_000011_000001.wav;Sampati's Story.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000040_000003.wav;And I won't try to imagine it away, either.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000042_000000.wav;Billy giggled hysterically.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\25894\4831_25894_000055_000001.wav;"The little mother kept nothing for herself but the pleasure of giving everything away; yet, I think, she was both richer and happier than if she had kept them all.";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\25894\4831_25894_000034_000001.wav;"She is dead now; but I do not forget,' answered Tessa, in her pretty broken English.";
opus_datasets/extracted/LibriTTS_R/dev-other\7697\245712\7697_245712_000033_000002.wav;First, because man is naturally a social being, and so in the state of innocence he would have led a social life.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000039_000002.wav;Into it they plodded without pause, crossing the harbour bridge about midnight, wet to the skin.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96670\7641_96670_000012_000003.wav;"And one fountain gushed out clear water, and another gushed out milk; another gushed out wine; and another oil.";
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000020_000000.wav;"""I hardly know how to tell you,"" she said, ""without speaking again of mr Van Brandt.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1650\157641\1650_157641_000018_000002.wav;That was reserved for the secluded apartment after the ladies had gone to bed.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000001_000003.wav;"But where am I?""";
opus_datasets/extracted/LibriTTS_R/dev-other\7697\105815\7697_105815_000022_000006.wav;O that I had not slept!;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000017_000002.wav;He would not let bad boys persuade him to go to play on Sunday.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000029_000000.wav;"""Oh dear, what a beast I am!"" muttered Rostov, as he read the letter.";
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96684\7641_96684_000024_000000.wav;Thinking this Admetus went up to Heracles and took his hand and welcomed him into his house.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000023_000003.wav;"Besides, I meant to be extra good in other ways to make up for it.""";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000013_000004.wav;"There now, what is it?""";
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67803\6455_67803_000014_000002.wav;"If she had only thought of it because mr Binnie came, I could have forgiven her more easily; but she has been making coarse plans all the time, and treating me with contempt.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000014_000000.wav;Here the spot stopped, and dwindled smaller.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000004_000001.wav;It never would have occurred to her to protest or be petulant about it.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90413\1255_90413_000032_000000.wav;He had not been appointed to take her across to the dining room, but at the table found her exactly opposite.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000025_000005.wav;I have proof now-green hair is proof enough for anybody.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000075_000001.wav;"It's the best law firm in the town, Pickering."" mr Cabot brought his elbow off from the mantel enough to smite his palms together smartly in enthusiasm.";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288046\116_288046_000004_000008.wav;It is of no avail to cry over lost illusions, to long for vanished dreams, or to call to the departing gods to come back.;
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000039_000002.wav;I think I could do anything but that: the idea of her distress turns me sick with dread.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000042_000002.wav;Now that he was already an officer and a wounded hero, would it be right to remind him of herself and, as it might seem, of the obligations to her he had taken on himself?;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000031_000009.wav;"""Is it possible,"" I asked, ""that all this is pure fabrication, a fantasy of the brain, as unsubstantial as the air?";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000028_000000.wav;Sergey Modestovich gave a swift glance round the room.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\173552\1650_173552_000012_000011.wav;But I shall spare her.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96684\7641_96684_000046_000002.wav;"How can I look upon a woman's face and remind myself that I cannot look upon Alcestis's face ever again?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000000_000001.wav;He did not know how long his unconsciousness lasted.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000056_000001.wav;Anna Mikhaylovna opened the door.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000065_000002.wav;I'm not such a dull fellow as you take me for.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000025_000000.wav;"""There's yore little calf,"" said he.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\101619\7601_101619_000017_000000.wav;"Nature discovers this confusion to us; painters hold that the same motions and grimaces of the face that serve for weeping; serve for laughter too; and indeed, before the one or the other be finished, do but observe the painter's manner of handling, and you will be in doubt to which of the two the design tends; and the extreme of laughter does at last bring tears:";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000023_000000.wav;'Yes.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000002_000003.wav;He did not turn his head and did not see those who, judging by the sound of hoofs and voices, had ridden up and stopped near him.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90413\1255_90413_000020_000001.wav;"She asked him to come again; and he thought he would tell the truth.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000020_000001.wav;When you were a workman among workmen, did you not wish to be their leader?;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000004_000004.wav;But she did resent having to look after the baby when she wanted to write her letter.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000039_000001.wav;"""I wish she belonged to me.";
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000029_000003.wav;It is surely a kind of faith, though a despairing kind.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000021_000007.wav;Such a voice could win its way anywhere.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000015_000000.wav;When the ship came out of dock she presented a scene of great industry.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000084_000000.wav;"""Where is the charter?"" No one answered, and, with bosom swelling with indignation at being cheated by a device of the shrewd members of the assembly, he threatened to have them arrested.";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000013_000002.wav;"""I did not expect you today,"" he added.";
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50962\5849_50962_000026_000001.wav;Nearer and nearer it came, until now a man's head could be seen.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000013_000000.wav;"""I was very glad of his appointment, that's all I know,"" replied Prince Andrew.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000010_000000.wav;Having said this, Napoleon rode on to meet Marshal Lannes, who, hat in hand, rode up smiling to the Emperor to congratulate him on the victory.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000092_000000.wav;"""Ah!"" she said, in the same tone of voice, ""it is not I who am going to speak to him.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6599\38591\6599_38591_000000_000002.wav;In those days of war and discord, fraught with violence, there was no man who was more personally rough and violent than Montmorency.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000059_000004.wav;"I have felt something of the kind, but I am convinced now that it will not, and that we must chance something and make it.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\25894\4831_25894_000011_000004.wav;'Tommo will like to have me go with him and sing, while he plays his harp in the streets.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000047_000007.wav;I have mine yet.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000006_000003.wav;That brought him to.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000060_000000.wav;"""Look here, Anderson, or Handy Solomon, or whatever you please to call yourself,"" I rejoined to this, ""if you're going to do business with me-and I do not understand yet just what it is you want of me-you'll have to talk straight.";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000016_000002.wav;"Then I will go and tell at once.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6455\66379\6455_66379_000010_000002.wav;"Hand over those V's.).""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000101_000000.wav;"""Then I shall be all as well as ever,"" said Polly, kissing the wet little face.";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000051_000003.wav;They spoke of the sayings and doings of their commander, the Grand Duke, and told stories of his kindness and irascibility.;
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000064_000003.wav;Then she arose and went, without another word or look, towards the door.;
opus_datasets/extracted/LibriTTS_R/dev-other\6467\97061\6467_97061_000009_000000.wav;"Sinhavarma, being of a very impatient and impetuous disposition, would not wait for the arrival of the allies who had been summoned to his assistance, and were then on the march; but throwing open the gates, went forth to meet the enemy.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000020_000009.wav;"The theory of equality is very grand.""";
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000046_000000.wav;"""Yes.""";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000052_000009.wav;At such times they had to cling for dear life to some fixture to prevent themselves being washed overboard, and with coal bags and loose cases washing about, there was every risk of such hold being torn away.';
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000032_000007.wav;Marilla, I CANNOT face Josie Pye.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000106_000000.wav;"""Go away,"" she said quietly.";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000042_000000.wav;mr Hale shook his head despondingly: he pressed her hand in token of gratitude.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000045_000007.wav;And so thinks Timokhin and the whole army.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000052_000004.wav;It was not a matter of life but rather of death, as the saying is.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000016_000002.wav;He loved the Sunday School.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000012_000002.wav;Three.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96670\7641_96670_000011_000002.wav;Then Phrontis and Melas were some way behind.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000009_000006.wav;More than a hundred professing Christian disciples had failed to go to the polls, and many more than that number had voted with the whiskey men.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\73710\1630_73710_000014_000000.wav;No! you must not come here.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96252\7641_96252_000004_000008.wav;"It is conceivable that a perfect state, or perhaps indeed a complete and firmly believed doctrine of rewards and punishments after death, might prevent every crime; politically much would be gained thereby; morally, nothing; only the expression of the will in life would be restricted.";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172182\3660_172182_000017_000001.wav;Then Geraint sent ambassadors to the men of Cornwall to ask them this.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000028_000003.wav;"I declare, it is as good as new.""";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000024_000001.wav;"I wouldn't have dyed it green.""";
opus_datasets/extracted/LibriTTS_R/dev-other\8254\115543\8254_115543_000030_000001.wav;Soon, when their own pots and pans were got out, and the dishes and the bags of rice and meal, the cook made ready the supper.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000006_000000.wav;"""They are cousins, you know,"" said Lady Anna.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\175351\7601_175351_000026_000003.wav;"Sometimes the clouds looked smooth and white as though they were reflections of the ice banks; but there were entire days when the yellow rays of the sun could not pierce the tenacious fog.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000033_000002.wav;"Why let him out of your sight?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000014_000002.wav;He has gone-disappeared!;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96684\7641_96684_000039_000000.wav;"""Admetus,"" Heracles said, when he came before him, ""Admetus, there is something I would have you do for me.";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000011_000000.wav;Over the church, in the silence that followed this strange scene, sobs and the noise of weeping arose.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000104_000001.wav;"""My mother says,"" he announced in triumph, ""that father will get no end of fun over that if you let it go.";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000022_000002.wav;You know the piles are just old tree trunks and there are lots of knots and old branch stubs on them.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000053_000001.wav;"Don't, Grandpapa, don't!"" she caught him around the neck imploringly.";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000039_000001.wav;In the half light I could see his face change.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000059_000010.wav;Another dog has just been washed overboard-alas!;
opus_datasets/extracted/LibriTTS_R/dev-other\7601\291468\7601_291468_000004_000007.wav;The fall of empires, the desolation of happy countries, splendid cities smoking in their ruins, the proudest works of art tumbled in the dust, the shrieks and groans of whole nations ascending unto heaven!;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000027_000000.wav;"""And, General, how hold out our sweethearts, Sworn loyal as doves?"" ""Many mourn; many think It is not unattractive to prink Them in sable for heroes.";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000016_000004.wav;I think the most Christian thing will be to let them have the service at the tent.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172183\3660_172183_000016_000003.wav;So he arose and took his leave, and went forth with his attendants.;
opus_datasets/extracted/LibriTTS_R/dev-other\4570\102353\4570_102353_000015_000002.wav;Thenceforward, however, I was but little troubled with any pressure for political appointments in the department.];
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000095_000000.wav;"""So this is another trick.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\102884\1630_102884_000013_000001.wav;The head keeps its place apart from the feet, not through some external arrangement or any conspiracy of coercion.;
opus_datasets/extracted/LibriTTS_R/dev-other\6467\94831\6467_94831_000006_000002.wav;"I've gained fifteen pounds, and-""";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000037_000002.wav;First he gave his arm, but the wind tore them apart as easily as coupled cherries.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000029_000002.wav;"Oh, she left you everything she had, Phronsie; a couple of millions or so it is; why?""";
opus_datasets/extracted/LibriTTS_R/dev-other\6599\38591\6599_38591_000002_000016.wav;"""Well, brother,"" said the king, ""how do you feel?";
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000018_000000.wav;"But Time, to make me grieve, Part steals, lets part abide; And shakes this fragile frame at eve With throbbings of noontide.";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000020_000008.wav;Left behind at the landing!;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000040_000002.wav;Their application for admission led to the withdrawal of a bolt, and they stood within the gaslight of the passage.;
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000055_000000.wav;'When do we go?' asked Margaret, after a short silence.;
